Physical Record ID,BL record ID,ARK
003051662,014828058,ark:/81055/vdc_000000042342
004002549,014832735,ark:/81055/vdc_00000002B9BC
002724588,014847784,ark:/81055/vdc_0000000072AE
002724587,014826748,ark:/81055/vdc_00000005439C
004002492,014605697,ark:/81055/vdc_0000000298E6
004002468,014832732,ark:/81055/vdc_000000046B12
004002177,015178557,ark:/81055/vdc_0000000265B6
002417506,014818733,ark:/81055/vdc_000000058B60
002175102,014817174,ark:/81055/vdc_0000000497B2
002045920,014815359,ark:/81055/vdc_0000000497CA
004001798,014880494,ark:/81055/vdc_000000016FFE
004001731,015178556,ark:/81055/vdc_0000000259C8
001432442,014811724,ark:/81055/vdc_000000033CAE
001422910,014811676,ark:/81055/vdc_0000000497AC
001277068,014811076,ark:/81055/vdc_00000003F1C8
001277065,014811073,ark:/81055/vdc_0000000406A4
001042318,014809799,ark:/81055/vdc_0000000446E2
004001619,014832727,ark:/81055/vdc_00000004520A
003294037,014829022,ark:/81055/vdc_00000003322E
004000889,014832718,ark:/81055/vdc_00000002C556
004001224,014832724,ark:/81055/vdc_000000059F64
004001226,014832725,ark:/81055/vdc_00000005A1B0
003448593,014939966,ark:/81055/vdc_0000000211FE
004001140,014832722,ark:/81055/vdc_000000029220
004001108,014940078,ark:/81055/vdc_000000021030
001727394,014813637,ark:/81055/vdc_000000039A1A
004001073,014832720,ark:/81055/vdc_00000002A36C
004001363,014832726,ark:/81055/vdc_000000034A64
004001035,014832719,ark:/81055/vdc_00000002AAFE
004000926,014824963,ark:/81055/vdc_0000000150D2
003946695,014832270,ark:/81055/vdc_00000002FBFE
004000460,014862514,ark:/81055/vdc_00000000CEB2
004000463,014841666,ark:/81055/vdc_00000000559E
003836112,014831559,ark:/81055/vdc_0000000287AC
004000335,014832716,ark:/81055/vdc_000000045DC8
004000334,014867955,ark:/81055/vdc_000000011178
004000332,014873189,ark:/81055/vdc_00000001227C
004000331,015174118,ark:/81055/vdc_000000025932
003825150,014831496,ark:/81055/vdc_000000054D5C
003784872,014831395,ark:/81055/vdc_00000004668C
004000277,014873188,ark:/81055/vdc_000000012F12
003673654,014872992,ark:/81055/vdc_000000013182
003627839,014830865,ark:/81055/vdc_00000003C3EA
003626126,014830840,ark:/81055/vdc_00000002A510
003626654,014830852,ark:/81055/vdc_0000000349E0
003998862,014768345,ark:/81055/vdc_000000057F24
003998843,014768344,ark:/81055/vdc_000000056C34
003998834,014841662,ark:/81055/vdc_000000002EF8
003999603,014832713,ark:/81055/vdc_00000005369A
003999605,014940075,ark:/81055/vdc_000000021E64
